Tweets,Date
"Jangan sakit-sakit plis, waktu tau km insom aku takut banget :( takut kamu kenapa-napa. Jangan senyum terus! Kalo mau nangis ya nangis aja rin gapapa. Gw tau beban lu berat apalagi banyak orang biadab yg sexualize elu...",2023-04-11 12:43:50+00:00
@Bsonja5 Biadab...,2023-04-11 12:39:26+00:00
Mereka pindah pas gue usir. Tapi ujung ujungnya ga jadi karena disiram sama ibu ibu sambil ngomong “biadab”,2023-04-11 12:31:42+00:00
"@CNNIndonesia Biadab, kebiri aja dah",2023-04-11 12:27:22+00:00
"BIADAB! Imam Ditusuk Berulang Kali, Pelaku Pura-pura Salat

Kejadian terjadi di negara bagian new jersey, Amerika Serikat (AS) Imam masjid di tikam saat memimpin sholat pada hari minggu 9 april 2023 https://t.co/SijhqhDH0J",2023-04-11 12:21:57+00:00
Ya Allah biadab,2023-04-11 12:14:50+00:00
"Aku pernah tweet 

""Takpe ke kucing tengok kita bogel lepas mandi ?""

Kawan sekolah aku reply

""Kucing tak makan cacing""

Biadab 🤣🤣🤣",2023-04-11 12:10:21+00:00
"Kok ada ya bapak biadab kaya gtu? Udah nelantarin anak, sekarng duit istrinya diambil juga. Dengan alibi ini juga buat makan anak2, tpi anak2nlu minta makan kerumah ya anjing. Istrinya banting tulang di luar buat anaknya, ada duit lu ambil gblg",2023-04-11 12:09:56+00:00
"Apakah PEMBANTAIAN Rakyat PALESTINA oleh ZIONIS ISRAEL IBLIS BIADAB LAKNATULLAH, bentuk CINTA???",2023-04-11 12:06:05+00:00
@MCAOps Biadab,2023-04-11 12:05:46+00:00
"@JAnwarist @Hilmi28 Buktinya sprt km skrg. Malah lbh bangsat km sih. Blm th ada beda pendpt, msh bertanya, tp sdh panggil org goblok. Kalian memaki serasa berzikir. Membunuh serasa naik haji. Dasar khawarij biadab!!",2023-04-11 12:04:56+00:00
@Bams27735590 Tangkap anjing biadab,2023-04-11 11:59:22+00:00
@Bams27735590 Anjing biadab,2023-04-11 11:57:59+00:00
@nizamscx Biadab kan. Padahal yg mengata tu pun tak tinggi mana 😒,2023-04-11 11:57:49+00:00
"Amatan saya sih nggak ngaruh. Masak nolak Israel, elektabilitas turun. Emang pemilu di Tel Aviv.
Nah pemerintah zionist biadab begitu, yg idolain paling segelintir domba2 Israel doang...🤔

https://t.co/ZZW824RDD7",2023-04-11 11:52:39+00:00
"Super Biadab orang sedang shalat di tendang oleh tentera LGBT Laknatullah.
#FreePalestineNOW 🇪🇭 https://t.co/d1oN1aqsob",2023-04-11 11:51:48+00:00
Biadab rampas fon org mcmtu je,2023-04-11 11:51:00+00:00
@InD4hR4tnA @DPR_RI Nah tu dia garong garong yang sangat biadab.merasa sok suci itu dewan.kelakuanya lebih biadab .rakyat miskin menjadi sensara ulah koruptor koruptor,2023-04-11 11:48:48+00:00
@MichelAdam9191 udah jelek biadab lagi,2023-04-11 11:48:38+00:00
Nyesel buka sketchbook pas SMA isiannya biadab semua 🙏🏻,2023-04-11 11:45:22+00:00
@anakmangfia Kalo ditanya jelas dendam bgt sm anjing babi tai biadab setan iblis terkutuk ini,2023-04-11 11:36:05+00:00
"KKB sangat biadab.

#KKBMakinBiadab",2023-04-11 11:34:51+00:00
"@adysufardyrifai @DefenceU @Odin_Arg Melindungi dengan cara memperkosa, menghancurkan dan genosida? Katakan kata fasis itu kepada Rusia bangsa biadab.",2023-04-11 11:32:45+00:00
"Siapapun pasti akan mengutuk perbuatan KKB Yang biadab!

#KKBMakinBiadab",2023-04-11 11:30:29+00:00
@adiwira__66 @UMonline Dahlah memang perangai biadab tak tahu adab gunakan media sosial.  Menjerit tak tentu arah.,2023-04-11 11:27:27+00:00
"@anakmangfia Itumah masi layak, klo bisa si biadab anjing bangsat tai babi ini pake gerobak galon biar mampus gelinding gelinding lu setan",2023-04-11 11:27:10+00:00
"@Aryprasetyo85 @ganjarpranowo Lagi.. lagi n lagi.. kasus seperti ini akan terus terjadi, agama dipakai sbg kedok untuk melampiaskan nafsu biadab.. 

Hukum harus ditegakkan.. 
Hanya vonis kebiri permanen n hukuman mati yang pantas diberikan bagi para predator bangsat seperti ini, siapapun dia pelakunya.",2023-04-11 11:26:55+00:00
"@tanyakanrl ga wajar anj, biasanya tuh ada tikernya buat ngehalangin trs jg liat keadaan lah mnyet pelan"", gjls bgt biadab",2023-04-11 11:25:41+00:00
@lunemourz Kak sumpah kakak kenapa komennya biadab gini (bikinnya sama aku),2023-04-11 11:22:39+00:00
"nahkan di bales, gua kudu gimana kontol temen biadab lu semua https://t.co/pzDjMsYC17",2023-04-11 11:20:22+00:00
"KKB sangat biadab.

#KKBMakinBiadab",2023-04-11 11:18:51+00:00
"KKB sangat biadab.

#KKBMakinBiadab",2023-04-11 11:17:57+00:00
"KKB sangat biadab.

#KKBMakinBiadab",2023-04-11 11:17:29+00:00
"@kangenband123 🟣☠
Dikategorikan anak krn usia. Nun perbuatan| dampaknya melebihi perilaku orang2 dewasa umumnya. Barbar, biadab, sadis.
Saat terjerat hukum minta perlindungan. Saat lagi mesra pacaran, eng ing eng, tidak minta perlindungan. 👏",2023-04-11 11:15:12+00:00
"KKB biadab.

#KKBMakinBiadab",2023-04-11 11:06:27+00:00
"@ajengcute16__ biadab dn brutal biasanya di lakukan oleh Berandal dn mafia 

Lah ini KSP The First A MAN Official With House 

Kalau di Amarika sana sudah di lempari PamPres baby yg banyak TAEK nya pejabat istana yg melanggar Norma",2023-04-11 11:04:46+00:00
