Tweets,Date
@TechmenID Mat @rahmatkurnianto . Iblis ae minder ndelok kelakuan e bedebah siji iki🫡,2023-04-09 21:14:48+00:00
"@___no_one_no @barcastuff_idn Yoi.
Jika pemain M*drid bermasalah decul wajib diam,
Tp jika pemain Barca bermasalah maka para demit bedebah boleh koar"".",2023-04-09 21:14:19+00:00
@tempodotco Ngibul,2023-04-09 20:30:08+00:00
@tukangaduayam @KPK_RI Cuma gue heran aja sama para bedebah ko ngotot banget pengen memenjarakan Anis...,2023-04-09 20:24:11+00:00
semut ini memang benar benar bedebah,2023-04-09 20:04:43+00:00
@Nai217_ @tanyarlfes Kan katanya mi ni mal li ma ka ta jawabnya. Wkwk,2023-04-09 19:28:56+00:00
"@detikcom Motto para bedebah Bea Cukai :
“KALAU BISA DIPERSULIT, KENAPA HARUS DIPERMUDAH?
KALAU BISA MERAS DUIT, KENAPA HARUS SEDEKAH?!”",2023-04-09 18:20:59+00:00
"Relate. Meng mergo ora dadi “halo dek” terus keluargaku sek membabu. Aneh emang, tolok ukure wong sukses kok menjadi idamanmu aka halo dek",2023-04-09 18:05:58+00:00
"Yang ada hanya verifikasi” bodoh di DM yang kalaupun saya jawab kalian juga akan menjawab salah salah dan salah saja
Tolong cabut saja jika kalian para bedebah ini gabisa menepati janji!!!
Kerja kok bisanya verifa verifikasi doank
Bangsat emang kalian @IndiHomeCare @IndiHome",2023-04-09 18:05:23+00:00
"@detikcom Motto para bedebah Bea Cukai :
“KALAU BISA DIPERSULIT, KENAPA HARUS DIPERMUDAH?
KALAU BISA MERAS DUIT, KENAPA HARUS SEDEKAH?!”",2023-04-09 18:04:58+00:00
"@PartaiSocmed Motto para bedebah Bea Cukai :
“KALAU BISA DIPERSULIT, KENAPA HARUS DIPERMUDAH?
KALAU BISA MERAS DUIT, KENAPA HARUS SEDEKAH?!”",2023-04-09 18:04:43+00:00
"Saya adalah pelanggan bulanan dengan nominal tagihan di 380.000an dan saya tidak pernah ada keluhan terkait tagihan saya ini dan pelayanan bedebah kalian serta produk busuk yang selalu lemooooottt
Namun sudah 2 minggu ini saya tidak bisa pakai layanan busuk kalian",2023-04-09 18:03:07+00:00
"Dear indihome anjing @IndiHomeCare @IndiHome 
Tolong cabut layanan wifi saya saat ini juga ya!!!
Saya lelah sekali dengan kinerja bodoh kalian para bedebah yang hanya bisa verifikasi tapi pas dijawab malah salah tapi tidak memberikan solusi yang terbaik",2023-04-09 18:02:03+00:00
"@detikcom Indonesia adalah negeri para bedebah &amp; penyamun, orang baik &amp; jujur banyak musuhnya &amp; disingkirkan. Orang pandai &amp; miskin diabaikan &amp; tidak dipakai.
Di negeri ini yang berkuasa kebanyakan ya orang jahat, tidak jujur, bodoh &amp; korup!",2023-04-09 17:53:45+00:00
"Ini baru pertandingan sepak bola cok, Liverpool ketinggalan dua goal ngotot nyerang. Arsenal juga udah unggul dua goal tetep ngotot nyerang. Tidak seperti club chelshit bedebah ntuh, unggul cuma satu goal aja ganti banyak pemain akhirnya gagal menang wkwkw",2023-04-09 17:32:46+00:00
"Pdhl bedebah di ujung tanduk itu keluaran 2021 wtf. Ngapain aja gue astaga, pdhl dulu nunggu bgt kisah sekuel negeri diujung tanduk sama negeri para bedebah.",2023-04-09 17:18:04+00:00
"Gais, gue blm baca novelnya tere liye Janji, Bibi gill, matahari minor, sesuk, tanah para bandit, dan parahnya gue jg blm baca BEDEBAH DI UJUNG TANDUK🗿",2023-04-09 17:12:45+00:00
mampus lu bujang ga gol penalti hasil give away wasit bedebah,2023-04-09 16:45:36+00:00
"@eradotid @mazzini_gsp Banyaknya wanita di republik bedebah ini, kau malah milih sepupumu sendiri. Keterlaluan",2023-04-09 16:33:56+00:00
@alwiii____ bedebah di ujung tanduk,2023-04-09 16:29:33+00:00
