Tweets,Date
"Bajingan bisa ndak sih jangan pada up foto yg blm official, apa ndak kasian dari kemaren foto2 jungkook x ck kesebar duluan",2023-04-11 17:09:31+00:00
"@the29thofapril ini yg putih ceritanya lagi godain yg item gitu ya? soalnya yg putih terlihat sekali aura cantik, indah, gemulai, dan sexy, nah item keliatan bgt aura menyeramkan, kuat, brengsek, dan bajingan☺",2023-04-11 17:09:20+00:00
"kerudung ki bajingan, urip san",2023-04-11 17:08:11+00:00
bajingan ngadep ke ny asu wkwkwkwk,2023-04-11 17:07:51+00:00
@Iovessuck @jejeavatar BAJINGAN GEDI BGT,2023-04-11 17:07:39+00:00
BAJINGAN https://t.co/R0voz2HmPL,2023-04-11 17:06:16+00:00
"@Minnie_Imut Boleh ikut misuh2..? 
Mumpung jg lg jengkel nih...
Penjahat kelamin.. 
manusia laknat..
Bajingan kere...
Iblis jahanam...

Itu aja dehh.. mau nama2 hewan kok kayaknya lbh dari jelek moralnya dr binatang...
😡😡😡",2023-04-11 17:04:24+00:00
@indomyfess BAJINGAN😭,2023-04-11 17:04:12+00:00
@anchovieess yoih karena sekolah bajingan gw,2023-04-11 17:03:13+00:00
BAJINGAN,2023-04-11 17:01:39+00:00
"Maaf sekarang gue xiaoslander (balikin duit gue bajingan) (maaf bercanda) (aku masih cinta kamu, dikit)",2023-04-11 17:01:37+00:00
"mau tau cowok gua modelan kek gimana, kalo bajingan ya tau gt bundir dr kmrn, tapi klo cowok nya modelan sukuna ya aku bertahan sampai akhir hayat ku",2023-04-11 17:01:27+00:00
bajingan,2023-04-11 17:01:21+00:00
"Orang mah dikritik evaluasi anjing,apa yang salah di benerin. Lah ni malah laporin tolol. Nih gatau lagi dah,alergi fakta apa takut jadi tersangka wkwk. Percuma negara maju kalo otaknya ga ikut maju,korup mulu bajingan",2023-04-11 17:00:45+00:00
"10 tahun selepas janji bajingan ini untuk digantung di monas, kapan bisa dipenuhi?",2023-04-11 16:59:32+00:00
@Amaaisan Ngapa jam segini bajingan,2023-04-11 16:57:20+00:00
"cok bajingan ancen ibuk² iki
antri suwe² disrobot kyk gk duwe duso 
kudu tak sepak ae cengel e 
nggarai wong poso ae

-kejadian mang ndk miksue tuku gawe takjil",2023-04-11 16:56:17+00:00
"@Ihan_Farhan BAJINGAN 🫠🫠🫠
KASIAN DIKIT KEK SAMA GUA",2023-04-11 16:54:56+00:00
@nolaryannn Bajingan marai cangkem,2023-04-11 16:54:07+00:00
"@tanyakanrl Gua kira ada yang pesen ayam, tpi gak di ambil sama customernga, trus Abang gojeknya sedih. Tau taunya bajingan sekali si cabul itu",2023-04-11 16:47:54+00:00
"gue gamau bukan gue alim, bukan gue kuat iman, itu prinsip gue

semisal gue orangnya bajingan pun ya gue tetep gak mau, itu prinsip

jadi lu gak bisa ngerubah gue, lu gasuka ya lu gausah jadi kawan gue, dan gue ga bilang gue bener, gue juga selalu berusaha berkaca",2023-04-11 16:45:44+00:00
bajingan ardian yg ada lu sini gua banting https://t.co/QnTdl0cCPM,2023-04-11 16:45:00+00:00
@itusiapaaaa LUWIH KOYO BAJINGAN,2023-04-11 16:44:18+00:00
@narkosun @DivHumas_Polri Bajingan! Mun di daerah aing ngajago komo deui pendatang bubuk,2023-04-11 16:44:06+00:00
@lLamacoOOoorn bajingan emang,2023-04-11 16:42:58+00:00
"23.30 coba merem karena dah ngantuk bgt.

23:40 bangun kaget karena bapack2 lacknat ketawa keras bener. Padahal dah mau merem 😡

Asuuu asuuuuu bajingan",2023-04-11 16:41:57+00:00
"Ish pusing banget pala gue, mana besok ulangan IPA bajingan",2023-04-11 16:39:17+00:00
"NELSON LU BAJINGAN. Mw gebukin Nelson, naren kan dibilang mending kita pacaran aja daripada sama si Nelson itu",2023-04-11 16:38:47+00:00
@fooltearsm @tanyakanrl bajingan bgt pisca gw ngakakk anjing,2023-04-11 16:32:48+00:00
