Tweets,Date
@Miniongoldlane @JR_Cyrillus @idextratime Elu goblok apa tolol?,2023-04-11 19:59:18+00:00
"@tanyakanrl Goblok lo, lo pikir nyari duit segampang metik daon? Mikir, otak kok ga dipake, kalo cuma dijadiin pajangan mending buang aja itu otak lo kontol",2023-04-11 19:58:13+00:00
@iamhasyim LU GOBLOK KONTOL. OTAK LU DIJUAL DI RM PADANG ?,2023-04-11 19:54:58+00:00
@GoodButter1 bunuh diri goblok,2023-04-11 19:54:47+00:00
"@iamhasyim @marjanjajan @izkarasc @18fesss DIKIRA OPINI LU BEDA TERLIHAT KEREN? GAK, KELIATAN GOBLOK GOBLOK GOBLOK PAKE BANGET. TOLOL SEKOLAH LAGI TOLOL",2023-04-11 19:54:27+00:00
@TheGameAllStar bunuh diri goblok,2023-04-11 19:54:02+00:00
@AimbotAimy bunuh diri goblok,2023-04-11 19:53:27+00:00
@tanyakanrl siapa jg yg mau berumahtangga sama org yang khilafnya berplanning goblok,2023-04-11 19:53:26+00:00
atuhlah goblok bgt demi di fb base,2023-04-11 19:53:22+00:00
@JupiterJavel bunuh diri goblok,2023-04-11 19:52:46+00:00
@_LIBRASTRAII bunuh diri goblok,2023-04-11 19:52:30+00:00
@fuckphysic udah goblok di goblok goblokin org goblok,2023-04-11 19:52:26+00:00
"@Inter Striker mu goblok kabehh
Pulangkan mulatieri",2023-04-11 19:52:18+00:00
"@radenrauf Aku nyakitin mu terus kamu nangis terus karna aku jd mending kita selesai aja,, blok goblok pdhl mo bebas aja pengen gatel ..",2023-04-11 19:51:44+00:00
@DragonsonBF @hyp3rviolet @Dextix_LT bunuh diri goblok,2023-04-11 19:51:40+00:00
@GonnaSkyeBy bunuh diri goblok,2023-04-11 19:50:17+00:00
"@Gojeck7 @Veelgeenoo Ko bs sih pamerin goblok .... 
Adehhhhh",2023-04-11 19:49:59+00:00
(goblok jangan diulang),2023-04-11 19:49:46+00:00
@RazaAkira bunuh diri goblok,2023-04-11 19:49:45+00:00
@Eightypie9 bunuh diri goblok,2023-04-11 19:49:28+00:00
@Dennysiregar7 Goblok lw @Dennysiregar7...Indonesia skrg dah amburadul blok https://t.co/q43UZL59AM,2023-04-11 19:49:23+00:00
@edi_sioon Goblok,2023-04-11 19:49:13+00:00
