Tweets,Date
"@ithemoonshine oh anda akan suka real estate designer tadi, brengsek bet tapi lucu",2023-04-11 16:55:50+00:00
"Ada. Pertemuan sama inisial A. Kwn kls yg dulu deketin aku, dari sekian banyak cowo brengsek, dia yg paling brengsek, mana jelek lg, dihhh",2023-04-11 16:51:16+00:00
BRENGSEK!!!!!!!!!¡,2023-04-11 16:50:35+00:00
Wkwkwk terserah org mau mikir apa. Emg guenya yg brengsek juga. Yaudah.,2023-04-11 16:47:20+00:00
"Brengsek, aku udh wanti2 buat nutup mata takut jumpscare🥲",2023-04-11 16:46:01+00:00
"tergantung orangnya, mau ngaca apa mau ngasih pembenaran?

yang ngaca ya ""oiya gue brengsek, pantesan dia diajak gak mau""

yang nglawan ya ""halah sok bener, kaya ga berdosa aja jadi orang""",2023-04-11 16:45:43+00:00
"sebagai contoh,

ditempat gue gawe, orangnya brengsek semua

tiap hari pada main slot, tiap minggu ke tempat hiburan malem, gue diajak? iyaaaa, tapi gue gak mau

GUE DOANK YANG GAK MAU

tapi apa gue akrab sama temen gawe gue? ya ada yang engga ada yang akrab",2023-04-11 16:45:42+00:00
"Petir bukan sembarang petir, kaget coeg",2023-04-11 16:44:30+00:00
"@radenrauf ""kamu terlalu baik buat akuu"" iya lah gue baik lo sih demennya sama yg sama sama brengsek",2023-04-11 16:44:17+00:00
"@gindha_ansori sudah bodoh, brengsek pula",2023-04-11 16:43:33+00:00
BRENGSEK LEWAT TL TENGSH MALEM,2023-04-11 16:41:45+00:00
‘kalo aku bilang kamu brengsek gimana’ 😔,2023-04-11 16:41:31+00:00
brengsek hp jatoh ke bibir skrg bibir gw ada benjolnyaaaaa 😠😠😠😠😠😠😠😠😠😠,2023-04-11 16:41:19+00:00
"eh beberapa hari kemudian, dia jadian sm temen sekelasnya. wkwk brengsek banget kaaan ya, tp beberapa bulan kedepannya dia malah ngajak balikan. ga kontol gmn tuh orang? udah fitnah gue mana ngajak balikan lg sama gue",2023-04-11 16:39:27+00:00
"@tanyarlfes Anjing lu asu, ngebiarin gue suka sendirian!! Ga gentle kaya banci, kalo ga suka bilang bukan diem gapunya berani, cowok paling brengsek di hidup gue sejauh ini lo yang menang!!!!",2023-04-11 16:37:28+00:00
brengsek lu tai anying.,2023-04-11 16:37:21+00:00
BRENGSEK BETUL😭😭😭,2023-04-11 16:37:14+00:00
