Tweets,Date
"weuyyy
Anak anak Bangsa..
Bersatulah lawan tirani..
Jangan karena beda pilihan capres kalian malah asyik gontok gontokan..
Fokus pada bobroknya institusi dan pejabat bebal para bangsat bangsat Bangsa..!!
Hukum masih timpang tak bertaji..!!
Ayo bersatu..
Ayo bersuara lantang...!! https://t.co/05MnFPpxE7",2023-04-11 18:22:17+00:00
Bangsat gua kira selama ini muka dia emang cuma kaca doang https://t.co/MeplN7O3TV,2023-04-11 18:21:41+00:00
@benpci @rooukok bangsat,2023-04-11 18:20:19+00:00
BANGSAT KETAWA BGT BAJINKKKKKKLLLL 😭😭😭🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,2023-04-11 18:19:40+00:00
"Ada aja orang yang beretika telp jam segini anjing. Padahal baru tidur, jadi gak bisa tidur bangsat",2023-04-11 18:18:51+00:00
Babi kau ya bangsat,2023-04-11 18:18:15+00:00
@getolokal gor bangsat,2023-04-11 18:17:03+00:00
"bangsat banget dah tadi gua lagi nangis kicil, terus buka twitter langsung muncul jeon jungkook kek qakxelsnwlnff. gila anjing gua",2023-04-11 18:16:57+00:00
mana di ladenin sm hyunsuk bangsat😂,2023-04-11 18:16:52+00:00
@meminummu bangsat,2023-04-11 18:16:52+00:00
"Bangsat ga  ekspek kalo mawang diundang 🤣

https://t.co/EoLJb3fDW5",2023-04-11 18:16:18+00:00
LU LIAT TYPING TEMEN LU BANGSAT @NahxBBL,2023-04-11 18:16:02+00:00
"@narkosun @DivHumas_Polri Untung bgt ad cctv.. bangsat tu orang, kezal",2023-04-11 18:14:15+00:00
"silakan komen, berpendapat, berprinsip kaya gini KALO lakinye juga mau ngelakuin hal yang setimpal yah bangsat. jangan atur gw kalo lu sendiri gak mau gw atur.",2023-04-11 18:14:04+00:00
mnt recommend au ke lala mlh dikasih au gay bangsat agak gila jg pny tmn,2023-04-11 18:13:04+00:00
@bs_vito Lebih bego lu... Bangsat buzzer,2023-04-11 18:12:24+00:00
"@vi_xx444 @tanyakanrl miris banget bacanya, sumpah dah itu pejabat kenapasi kaya gitu? kurang apa duitnya? ih bangsat",2023-04-11 18:12:08+00:00
"Sekarang nyesel udah ngabisin duit demi top up game kontol, ngape makin sini makin banyak bocil ribet sih bangsat kesel bgt gua betmut seharian gara-gara game doang mang anjing",2023-04-11 18:10:58+00:00
"GILAA bener"" baru kali ini gue baca au yang udh dri thn 20 yg literally chaos bgt anj se emosi yg udh gatau lagi deh ga ada kelar nya cuy kea capek sendiri bangsat baca nya, tapi sama gue ttp di baca smpe the end.😭😭",2023-04-11 18:08:23+00:00
"That “cowok gue, bangsat” FUNNY WKWKWK",2023-04-11 18:07:47+00:00
@oyelcantik Bangsat,2023-04-11 18:06:46+00:00
AYOOOOOO AREMA SOSMED TUNJUKKAN BACOT KALIAN COK. BANGSAT WKWKWKKWKWKEKEKKEK #aremajancok,2023-04-11 18:05:59+00:00
@berisik_bangsat Mana gemesnya,2023-04-11 18:04:55+00:00
@draordies @kegblgnunfaedh BANGSAT,2023-04-11 18:04:52+00:00
@aesfams TRIMS ALL LOVUY😘🫶 editan klian slalu kren n menginspirasi ank bangsat🤩,2023-04-11 18:04:33+00:00
Bener-bener nguras emosi sampe keluar semua kata mutiara ini grgr baca si Kaezar bangsat itu :') ya Allah Astaghfirullah ☺️,2023-04-11 18:04:11+00:00
"Hades, game nyebelin + seru + nagih + bangsat disaat yang bersamaan 👍🏻 https://t.co/7RFSkGAy3k",2023-04-11 18:03:11+00:00
ini udah jam satu bangsat gue mau berekspresi lebih juga kaga bisa,2023-04-11 18:02:39+00:00
bangsat 33x,2023-04-11 18:02:34+00:00
"baru taraweh 2 kali alias masjid jauh bgttt motor cuma satu jadi dipake ortu, jalan kali keburu pingsan, kalo bawa mobil kek malu ga si😭 kalo ke masjid kampung sebelah takut karna kurang kenal sama org2nya. sebenarnya bisa yakan di rumah sendiri😭 dalah emg gw aja yg bangsat 😭",2023-04-11 18:02:27+00:00
Indihome lg kenapa sih woi bangsat,2023-04-11 18:02:01+00:00
dari awal puasa gua udah sakit sebelum haid yang bangsat masa sampe sekarang belum haid sih anjingggg nyusahin banget sialan,2023-04-11 18:01:55+00:00
hormon bangsat gua mau haid biar bisa closingan anjingggg,2023-04-11 18:01:14+00:00
"gw jg capek. Ada waktunya gue luapin semuanya dgn ucapan yg gbs gw tampung lagi dan akhirnya lo sakit hati. Lo sedih? dikira gw ga sedih dgn perilaku lo? gw yg sll antagonis dicerita orang lain, bangsat",2023-04-11 17:59:45+00:00
"ya lucuuu ta gemsss ya ngeselim ya bangsat jugaaa, sp lg klo bukan bibub capy https://t.co/0a0uAweYcP",2023-04-11 17:59:18+00:00
"@tanyakanrl nyusahin bangsat, kasian kakak lo cari duit susah susah tapi otak lo isinya main aja",2023-04-11 17:57:08+00:00
@crazyasfuckkk @crzykenzler wkwkwk bangsat,2023-04-11 17:56:31+00:00
l for LO CAKEP AMAT BANGSAT 😫😫 https://t.co/WpaVhtGhaT,2023-04-11 17:54:27+00:00
gmn caranya tidur kalo ky gini bangsat anjing,2023-04-11 17:54:06+00:00
"temen² ade w bangsat jga, percaya aja, gatau mama nya kek gimana sm tu bapak², ga ngaca anjeng, terima gosip murahan seolah mereka lagi ngomongin kondisi mereka jga, fakkk",2023-04-11 17:52:23+00:00
TAIIIII LO BANGSAT,2023-04-11 17:52:05+00:00
Indihome bangsat!,2023-04-11 17:51:57+00:00
"males banget, banget, banget bangsat",2023-04-11 17:51:18+00:00
bangsat paham banget lagi😭,2023-04-11 17:51:15+00:00
@republikaonline Koruptor bangsat...,2023-04-11 17:51:15+00:00
bangsat bener punya temen,2023-04-11 17:50:55+00:00
@dreadsenses BANGSAT JG,2023-04-11 17:50:55+00:00
kenapa hrs samaan sm dia bangsat,2023-04-11 17:49:30+00:00
gue benci banget panic attack gini bangsat,2023-04-11 17:49:22+00:00
Akwowkwowkwkwkwkw bangsat 😭😭,2023-04-11 17:48:22+00:00
bangsat wakakak https://t.co/ykSx8JYi5H,2023-04-11 17:47:43+00:00
@detwooo @gataulupalagi BANGSAT BGT RIVAN WKWKWKKW,2023-04-11 17:47:32+00:00
"@tanyakanrl ribet. padahal tinggal gak ngurusin hidup orang, hidup lo tenang bangsat",2023-04-11 17:47:25+00:00
"Bangsat, anjing emang :(",2023-04-11 17:46:40+00:00
@gaxlak Gua tipo bangsat 😭😭 masa materi,2023-04-11 17:46:36+00:00
taek merasa paling tersakiti bangsat. nggilani cok,2023-04-11 17:45:20+00:00
WKWKWKW BANGSAT JDI ANGGOTA,2023-04-11 17:44:46+00:00
"bangsat emang disney, gara” lu ngerubah ras satu peran film ribut semua jadinya malah dianggep rasis semua yg ga setuju",2023-04-11 17:43:36+00:00
"BENCI BET SM IAROS YA ALLAH 😂🔪 sumpil cakep bole pinter bole tp psikopatnya ngeselin bet anying, go meddie go!!! Kamu harus melakukan tipu daya ke iaros si bangsat psikopat itu!!! Even gw sbg cewe aja pengen sm orang yg sifat + pola pikirnya + ketenangannya kek meddie 🥹 https://t.co/7ZeowFIMy9",2023-04-11 17:43:29+00:00
BANGSAT GUE LGO LAGIIII 😭😭😭,2023-04-11 17:43:14+00:00
