Tweet,Username,Datetime
"Anda kocak pak 🤣🤣🤣
Makin kentara kalau penolakan Tim U20 Israel sifatnya politis sekali. Teriak2 konstitusi dg lantang, sekarang??? Preeettt",noez_wahyudi,2023-04-14 23:00:45+00:00
"✅ Ramai2 menolak timnas sepak bola Israel sampai demo, tapi tidak ramai menolak tim WBG Israel.

✅ Menyebut WBG (dgn Israel sbg peserta) sudah sesuai amanat konstitusi, tapi tidak menyebut hal itu untuk World Cup U20. 

Indonesia, orang-orangnya, beserta kelucuannya. #MC https://t.co/7mcAbzKuAZ",medioclubID,2023-04-14 23:00:27+00:00
Senada? Apakah I Wayan Koster menyebut World Cup U20 sesuai dgn amanat konstitusi pasca menolak timnas Israel di World Cup? #MC,medioclubID,2023-04-14 22:38:15+00:00
"@knpiharis @INFOBNN @jokowi @ListyoSigitP @DivHumas_Polri @CCICPolri @KPK_RI @KejaksaanRI Woy haris gblk, world beach tetap di gelar tuhh di bali, kmaren aja fifa u20 ribut bgt lu karna ada israel nya, noh world beach ada tim Israel nya diem² bae lu skrg",Adiakasa1,2023-04-14 19:26:32+00:00
@PartBurungGalak Berarti penolakan Israel di U20 bukan karena konsititusi dan Bung Karno???,aunb132,2023-04-14 19:11:59+00:00
@republikaonline Berarti bener kalau gagalnya pildun U20 bukan karena penolakan Israel..,SaptoHape,2023-04-14 19:07:35+00:00
"Loh Koster ngotot tolak Israel hanya untuk piala dunia U20 saja toh. Apa krna World Beach Games gak memakai GBK ya.
Jangan-jangan benar menolak Israel di piala dunia soy gelaran itu batal dan GBK bisa dipakai agenda besar 1 Juni itu ya.",ekojhones77,2023-04-14 19:04:47+00:00
"BATAL WC-U20. Betul, terselenggara atau tdknya World Cup U20 di Indonesia itu tergantung FIFA. Namun, sbg Ketua PSSI ia harusnya bisa berbicara pada para tokoh yg tak setuju dgn kesertaan Israel. https://t.co/jd5X0Z4Agr",_palungmariana,2023-04-14 16:45:54+00:00
"@kiranaanbia @flywithasoka @tanyakanrl Sebenernya gak usah ngapa2in lebih enak. Gak capek. Gak usah dibenerin jalannya. Duit utuh, gak ada yg nindak palingan juga. Contohlah kasus U20israel, mau dihujat puluhan juta juga ntar lupa sendiri",kiranakailash,2023-04-14 16:11:28+00:00
"ada israel, dan tetep digelar. kmrn siapa ya yg paling kenceng nolak pildun u20 di Indo grgr ada israel🙄🤔🙄🤔🙄🤔🙄",amourzy_,2023-04-14 15:19:11+00:00
"@Paltiwest Di tunggu
Muka2 para bacot yg kemarin pada nolak tim Israel di world cup U20
Coba sekarang pada berani ngebacot nolak ga,,",DillaRosyid,2023-04-14 14:39:25+00:00
U20 ditolak karena  ada #Israel BMG diterima walau ada #Israel . Itulah dunia.,kangabubakar,2023-04-14 14:22:37+00:00
@GlHindu Israel U20 itu tepi barat. Israel AWBG tepi timur.,Lilonisme,2023-04-14 14:22:13+00:00
"Gubernur tidak punya pendirian. Kalo emang sesuai dengan teks pembukaan prokamasi kita, TOLAK KERAS seperti U20 kemaren. Jgn ad standart ganda. Kepada @PDI_Perjuangan keluarkan titah ketua partai lagi supaya menolak Israel lagi.",Erick_Coolz,2023-04-14 14:00:29+00:00
"@idextratime sama aja kya bapak ini, kok gak bersuara ada event lain di bali yg mengundang tim israel @ganjarpranowo ,pdahal ya pdahal beliau plg terdepan menolak sepakbola tim israel dtg ke indonesia untuk ikut serta piala dunia U20 👏🏼",kusiapaaaaa,2023-04-14 13:57:34+00:00
"Mungkin menurut Pak Yan, israel yg U20 dengan israel yg AWBG itu beda 😁

Hidup Pak Yan ! 😁",GlHindu,2023-04-14 13:54:37+00:00
Terus kemarin pildun u20 kok nolak Israel mentah2 padahal cuma ikut main bola doang buat apa??,ilham_madani,2023-04-14 13:06:00+00:00
"Kemarin U20 gak mau Ada Team Israel, katanya melanggar konstitusi, lah sekarang kok bisa diterima? Konstitusi nya bijimana?

Gubernur yg membagongkan.
😊🫢🙈",aunb132,2023-04-14 12:55:01+00:00
"@Paltiwest Sejak @PDI_Perjuangan menolak timnas U20 Israel.. Fix, partai ini sangat berbahaya.. 😊

Yuk, dicoblos lagi caleg² dari @PDI_Perjuangan nanti pemilu 2024..☺",HansjayaHans,2023-04-14 12:52:42+00:00
"@medioclubID nahh kan jelas berarti emang ada kepentingan kelompok yg diperjuangin pake isu pildun u20 kemaren, lah ini sama2 ada wakil israel treatmentnya beda",amiphuu,2023-04-14 12:52:22+00:00
"°
Serba Sesuai KONSTITUSI 

.

Tolak balbalan tim Israel u20 ...
SESUAI KONSTITUSI 

.

Wellcome tim Israel di World Beach Games. 
SESUAI KONSTITUSI 

.
.
.

#ndabrusz https://t.co/ZmGcVELGon",AnakTangsiAD,2023-04-14 12:44:40+00:00
@tjitrosoenarjo1 @__AnakKolong Udah tobat Ibu suri negara tolak Israel U20 elektabilitas anjlok nggak karuan.,yudha4efah,2023-04-14 12:41:53+00:00
Elektabilitas PDIP anjlok pasca menolak Timnas Israel di Pildun U20 #fifa #pdip #pildun https://t.co/5kJGsLZFrk,rosieontheway,2023-04-14 12:27:20+00:00
"GOAL! Akhmat Grozny U19 in Russia Youth League
Akhmat Grozny U19 2-1 UOR №5 U20
GOAL! Tzeirei Kafr Kanna in Israel Liga Alef - North
Tzeirei Kafr Kanna 1-0 Maccabi Nujeidat Ahmed
GOAL! Vipers in Uganda Uganda Cup
Vipers 2-0 Calvary",ftg_soccer,2023-04-14 12:16:52+00:00
"@_MbakSri_ PDIP kentoro Panik.gegara U20 batal, elektabilitas nya terjun bebas.

Sekarang mau Terima team Israel.
Karep mu opo??

NOPDIP",aunb132,2023-04-14 12:15:23+00:00
"Masih nungguin gimana respon yang kemarin koar-koar nolak kedatangan Timnas U-20 Israel pas Pildun U20, sekarang di event World Beach Games yang di gelar di Bali ada Israelnya juga. Ini tak ingetin biar ga kecolongan lagi kayak pas pildun protesnya mepet sama hari h event.",pendudukduduk,2023-04-14 12:12:44+00:00
"@__AnakKolong 🧐 Mustahil tim Israelnya yang datang beda negara sama tim Israel U20, bukan?",wistekati,2023-04-14 12:05:03+00:00
@Bali_Football 3. Kekosongan posisi menpora (diisi menko PMK) saat penolakan tim Israel berlaga di Pildun U20.,krishnayana95,2023-04-14 11:57:43+00:00
"@FaktaSepakbola Ormas sama Parpol yang kemaren nolak pildun u20 krna ada Israel kemana perginya kok gk ada suaranya? Sibuk minta"" THR apa gimana? sampe lupa ada tim Israel mau main di bali",Rizkiajahlaah,2023-04-14 11:54:20+00:00
"@Bali_Football Bukan standar ganda tapi standar toleransi, anggaplah israel tampil di pildun u20 udah lewati standar toleransi",IbnuNasir8,2023-04-14 11:53:24+00:00
"STANDAR GANDA 🎭

❌ World Cup U20 (ada timnas Israel):

""Tolak timnas Israel atas dasar kemanusiaan dan tidak adanya hubungan diplomatik""

✅ World Beach Games (tetep ada atlet dari Israel):

""Dukung penuh karena sudah sesuai dgn amanat konstitusi""

KNTL. #MC https://t.co/c5UuKG01j7",medioclubID,2023-04-14 11:53:20+00:00
"makanya
jangan asal
ANTI ISRAEL,
piala dunia U20
jadi korban kalian

😪

■",cinggaro,2023-04-14 11:50:37+00:00
"@FaktaSepakbola Bli @wayankoster2014 kemarin pas bikin surat penolakan Israel di pildun u20 ga pakai diskusi dulu dg menpora, ketum pssi atau presiden ? Bisa lho inisiatif sendiri.",wahju_wibowo,2023-04-14 11:48:09+00:00
"Hahahaha
Jadi jelas toh... 
Mereka sudah sediakan lempar isue tolak israel untuk amankan rezim dari ketidakmampuan buat pesta bola taraf internasional u20.",Virsi6,2023-04-14 11:47:18+00:00
"Semoga kadrun protes dan demo besar besaran menolak keikutsertaan Israel di AWBG. 

Saya masih emosi gara gara pildun U20 gagal

Save palestina https://t.co/QgnLTdVrPN",Call_Nixon,2023-04-14 11:27:19+00:00
"@_MbakSri_ Nampaknya si eyang udh mulai gak pede..
Gak seperti awal2 saat dengan jumawa menyatakan penolakannya atas keikutsertaan israel di U20...",BudiWid42032126,2023-04-14 10:27:41+00:00
"@mediaindonesia Judul berita tak tepat.
Pak Wayan konsisten menolak Timnas Israel.

Tidak menolak Piala Dunia U20
Tidak menolak World Beach Game",PoetraNKRI45,2023-04-14 09:09:01+00:00
"Mana nih yg kemaren gembar gembor israel di pildun U20, keras juga nggak nih, atau jadi bidak catur para elite politik doang nih, well educated tp nanggung",abiibb_,2023-04-14 08:43:11+00:00
"@detikcom @detikbali_ KOK GA KONSISTEN 
membela HAMAS Palestina 
berdasarkan KONSTITUSI NKRI🇮🇩

Katanya Bung Karno menolak maka semua kader PDIP harus menolak, sama spt kalian menolak Pildun U20 tim Israel kan?

Apa bedanya, sama2 Israel kan.

@ganjarpranowo @PDI_Perjuangan 
cc @jokowi @gibran_tweet",PFTee,2023-04-14 08:40:32+00:00
"Breaking News ! 
World Beach Games 2023 tetap digelar di Bali guys dan sekarang didukung Pak Gubernur Bali, I Wayan Koster. 
Semangat tegak lurusnya, tolak atlet Israel kayak U20, tapi ingat takut pariwisata Bali sepi ... 😂😂
.
. https://t.co/7p89jDslqT",NyaiiBubu,2023-04-14 08:24:56+00:00
Cak apa ini ada kaitannya terhubung jg dgn anggota teroris di uzbek yg tertangkap beberapa waktu lalu dlm rencana untuk gerakan mengacaukan pildun U20 kl sampe jd di indonesia dgn tetap adanya tim israel ikut bertanding?,gunos_madman,2023-04-14 06:34:03+00:00
"Bali akn menjadi tuan rumah AWBG 2023

kirain bkl batal lagi kyk pildun U20, kan Israel ikut partisipasi di AWBG

pak koster kok plin plan sih..  😕😕😕 https://t.co/tcbk4pqHqV",Gladislagiwoy,2023-04-14 06:32:28+00:00
"Oposisi di seberang sana ternyata mampu memprediksi. Bahwa ternyata mereka tidak Optimis dengan kemenangan Capres Anies. Seorang Capres Oportunis bahkan saat dia harus bersuara ""Mendukung atau Menolak Keterlibatan Timnas U20 Israel di Pildun 2023 di Indonesia.",DumpalCandi17,2023-04-14 05:37:42+00:00
