Tweet,Username,Datetime,Sentiment
yuk simak baikbaik biar gak gagal paham kait latar tolak israel piala dunia u20,HambarSara,2023-04-13 03:26:36+00:00,0.0
juang maksimal erick thohir,SiputLpg,2023-04-13 03:26:30+00:00,0.0
latar belang tolak israel piala dunia u20,sembilag,2023-04-13 03:10:16+00:00,0.0
mengkambinghitamkan tolak israel gagal gelar piala dunia u20 indonesia,sembilag,2023-04-13 03:09:05+00:00,0.0
teroris tetep ada indonesia tolak israel piala dunia u20 batal fifa,pierreicon,2023-04-13 02:39:04+00:00,0.0
gaes statement ganjar kait piala dunia u 20,Anjani2913,2023-04-13 02:34:56+00:00,0.0
ganjar pranowo ada penandatanganan surat janji fifa tuan rumah,Anjani2913,2023-04-13 02:32:54+00:00,0.0
latar lenolakan israel piala dunia u20,kharism79,2023-04-13 01:50:49+00:00,0.0
latar tolak israel piala dunia u20,mitanangkoroyah,2023-04-13 01:48:45+00:00,0.0
latar tolak israel piala dunia u20 tupperware,talibomar136,2023-04-13 01:47:07+00:00,0.0
mengambinghitamkan tolak israel gagal gelar piala dunia u20 indonesia,gonjong17,2023-04-13 01:25:34+00:00,0.0
survei lsi mayoritas responden berat dgn hadir timnas sepak bola israel indonesia dlm helat piala dunia u20 anggap isu sepakbola ada hubung politik,Nailazaara__,2023-04-13 00:14:04+00:00,0.0
pdip tdk sengaja korban ganjar nenek mega pusing ada timna u20 israel laga ind instruksi nenek rasis gp manut spt bambang paculdprpdip manut pd sinenek pikun,EvertNunuhitu,2023-04-13 00:08:54+00:00,0.0
reaksi israel batal u20 gol bunuh dirimmg kalimat negara,makbos75,2023-04-12 23:38:43+00:00,0.0
sakit hati gara2 piala dunia u20 gagalgakan pilih den ganjarbayangkan kalo presiden even2 olahraga internasional ada israel tolak smua,Feri51230189,2023-04-12 23:07:51+00:00,0.0
ambing hitam tolak israel tolak piala dunia u20,rosejadap,2023-04-12 22:35:59+00:00,0.0
latar tolak israel piala dunia u20,Michelle_fitria,2023-04-12 22:34:46+00:00,0.0
kait fifa batal status indonesia sbg tuan rumah piala dunia u20 lsi temu 721 bhw batal kait tolak timnas israel indonesia piala dunia u20 2023,Nailazaara__,2023-04-12 16:33:09+00:00,0.0
tolak u20 israel,Pancar_POS,2023-04-12 15:31:28+00:00,0.0
israel lolos pildun tinggal 2562022 indonesia fifa tuan rumah 2019 selenggara 2023 israel lolos pildun u20 ada sangka sok ngegas oon,Kanjeng2022,2023-04-12 15:12:40+00:00,0.3182
gagal tuan rumah piala dunia u20 dipolitisir publik hipnotis dgn hembus tolak krn israel sdh edar surat fifa krn tragedi kanjuruhan,CahAngo45022699,2023-04-12 13:48:55+00:00,0.0
lsi publik tolak timnas israel batal pala dunia u20,tasspijar,2023-04-12 13:44:49+00:00,0.0
indonesia milik komitmen utk damai dunia krna tolak israel piala dunia u20,Fushianus,2023-04-12 13:42:12+00:00,0.0
mari benah ajar sepak bola indonesia kambinghitamkan tolak israel gagal gelar piala dunia u20 maju bangsa maju indonesia,kupangzone,2023-04-12 13:38:02+00:00,0.0
mengambinghitamkan tolak israel gagal piala dunia u20,ArifSubagiyo2,2023-04-12 13:28:09+00:00,0.0
latar tolak israel piala dunia u20,ArifSubagiyo2,2023-04-12 13:27:08+00:00,0.0
tepis gak katek isu tolak timnas u20 israel gak posisi tawarny isu iku kaki koalisi besar uwis ndek zona menang merah maju monggo 2024 milik kubu koalisi pkb vs pks,_MbakSri_,2023-04-12 13:01:10+00:00,0.0
wkwkwk buzzerrp jokowi panik yahudi israel u20 dibanned rakyat indonesia kerja nyong thoher,devaannaa,2023-04-12 12:50:30+00:00,0.0
waduhhhh cnn bikin malu supporter tum pssi rangkap jabat menteri bumn negeranya tolak tuan rumah u20 dunia lempar issue tolak israel dah malu negeri stadion payah wasit,Virsi6,2023-04-12 12:35:15+00:00,0.2732
mengambinghitamkan tolak israel gagal u20,Gposadaspaola19,2023-04-12 12:27:20+00:00,0.0
gak koster bikin event u20 undang negara israel,bersatulahnkri,2023-04-12 12:25:11+00:00,0.0
saudara iman kibar bendera tanah airy trus klu sampe piala u20 mreka kibar bendera indonesia goublok israel hidung pesek,dre_f2,2023-04-12 11:35:17+00:00,0.0
