"Date","Price","Open","Close","High","Low","Vol.","Change %"
"03/26/2012",1689.98,1661.81,1690.30,1694.00,1655.60,,1.67
"03/23/2012",1662.26,1645.41,1661.81,1666.74,1642.38,,1.06
"03/22/2012",1644.85,1652.05,1645.41,1658.01,1629.68,,-0.34
"03/21/2012",1650.50,1651.11,1652.05,1661.65,1646.91,,0.01
"03/20/2012",1650.35,1666.04,1651.11,1666.29,1643.29,,-0.85
"03/19/2012",1664.55,1654.98,1666.04,1671.40,1654.14,,0.23
"03/16/2012",1660.65,1659.71,1654.98,1665.01,1639.80,,0.15
"03/15/2012",1658.23,1642.89,1659.71,1666.79,1636.59,,0.89
"03/14/2012",1643.60,1675.74,1642.89,1683.45,1635.59,,-1.90
"03/13/2012",1675.50,1699.66,1675.74,1705.97,1662.60,,-1.47
"03/12/2012",1700.53,1709.08,1699.66,1714.30,1692.84,,-0.73
"03/09/2012",1713.09,1700.20,1709.08,1714.59,1677.84,,0.73
"03/08/2012",1700.65,1685.09,1700.20,1703.86,1682.85,,0.93
"03/07/2012",1684.95,1674.60,1685.09,1688.42,1671.35,,0.65
"03/06/2012",1674.00,1705.97,1674.60,1709.00,1664.35,,-1.92
"03/05/2012",1706.70,1711.05,1705.97,1716.76,1694.64,,-0.33
"03/02/2012",1712.30,1717.70,1711.05,1724.19,1705.19,,-0.25
"03/01/2012",1716.55,1696.20,1717.70,1726.21,1694.70,,1.26
"02/29/2012",1695.20,1784.59,1696.20,1790.80,1688.49,,-5.08
"02/28/2012",1785.85,1767.05,1784.59,1789.96,1766.00,,1.11
"02/27/2012",1766.30,1773.28,1767.05,1779.59,1762.24,,-0.41
"02/24/2012",1773.49,1780.30,1773.28,1783.11,1770.74,,-0.37
"02/23/2012",1780.10,1776.24,1780.30,1787.61,1772.29,,0.14
"02/22/2012",1777.55,1759.59,1776.24,1781.80,1749.54,,1.05
"02/21/2012",1759.15,1734.03,1759.59,1760.21,1731.09,,1.45
"02/20/2012",1734.00,1723.78,1734.03,1737.30,1723.67,,0.67
"02/17/2012",1722.45,1728.84,1723.78,1735.95,1717.45,,-0.36
"02/16/2012",1728.70,1727.79,1728.84,1730.01,1705.49,,-0.02
"02/15/2012",1729.01,1719.62,1727.79,1737.47,1718.52,,0.52
"02/14/2012",1720.10,1722.96,1719.62,1727.81,1712.20,,-0.14
"02/13/2012",1722.50,1725.30,1722.96,1733.61,1716.47,,0.15
"02/10/2012",1719.85,1731.54,1725.30,1734.80,1704.14,,-0.56
"02/09/2012",1729.60,1733.70,1731.54,1751.90,1725.69,,-0.23
"02/08/2012",1733.55,1745.76,1733.70,1751.86,1724.95,,-0.74
"02/07/2012",1746.50,1719.80,1745.76,1750.20,1709.79,,1.52
"02/06/2012",1720.30,1726.30,1719.80,1738.09,1711.79,,-0.29
"02/03/2012",1725.30,1760.06,1726.30,1763.76,1724.35,,-1.97
"02/02/2012",1759.99,1744.20,1760.06,1761.57,1741.49,,0.94
"02/01/2012",1743.60,1738.75,1744.20,1751.56,1732.95,,0.24
"01/31/2012",1739.43,1729.19,1738.75,1747.79,1726.80,,0.54
"01/30/2012",1730.05,1738.05,1729.19,1739.35,1716.69,,-0.51
"01/27/2012",1738.89,1720.49,1738.05,1738.91,1714.80,,1.01
"01/26/2012",1721.50,1710.72,1720.49,1730.62,1703.65,,0.56
"01/25/2012",1711.90,1665.69,1710.72,1713.30,1649.19,,2.80
"01/24/2012",1665.20,1676.99,1665.69,1679.89,1661.29,,-0.70
"01/23/2012",1677.00,1666.68,1676.99,1681.66,1662.59,,0.61
"01/20/2012",1666.90,1657.79,1666.68,1667.11,1644.69,,0.56
"01/19/2012",1657.60,1659.70,1657.79,1670.15,1648.94,,-0.22
"01/18/2012",1661.25,1652.20,1659.70,1662.50,1642.74,,0.58
